timestamp,target_position_1,target_position_2,target_position_3,target_position_4,target_position_5,target_position_6,target_position_7,target_position_8
2024-07-17 21:23:15,2048,2048,2048,2055,2007,2071,2071,2071
2024-07-17 21:23:15,2048,2048,2048,2055,2007,2071,2071,2071
2024-07-17 21:23:15,2048,2048,2048,2055,2007,2071,2071,2071
2024-07-17 21:23:15,2048,2048,2048,2055,1927,2071,2071,2071
2024-07-17 21:23:16,2048,2048,2048,2055,1959,2007,2007,2007
2024-07-17 21:23:16,2048,2048,2048,2055,1943,1830,1830,1830
2024-07-17 21:23:16,2048,2048,2048,2055,1959,1332,1332,1332
2024-07-17 21:23:16,2048,2048,2048,2055,1943,1075,1075,1075
2024-07-17 21:23:16,2048,2048,2048,2055,1943,818,818,818
2024-07-17 21:23:17,2048,2048,2048,2055,1943,770,770,770
2024-07-17 21:23:17,2048,2048,2048,2055,1927,899,899,899
2024-07-17 21:23:17,2048,2048,2048,2055,1943,1059,1059,1059
2024-07-17 21:23:17,2048,2048,2048,2055,1943,1348,1348,1348
2024-07-17 21:23:17,2048,2048,2048,2055,1943,1686,1686,1686
2024-07-17 21:23:18,2048,2048,2048,2023,1927,2119,2119,2119
2024-07-17 21:23:18,2048,2048,2048,1975,1927,2312,2312,2312
2024-07-17 21:23:18,2048,2048,2048,1959,1943,2762,2762,2762
2024-07-17 21:23:18,2048,2048,2048,1943,1943,3548,3548,3548
2024-07-17 21:23:18,2048,2048,2048,1943,1943,3324,3324,3324
2024-07-17 21:23:19,2048,2048,2048,1975,1927,2376,2376,2376
2024-07-17 21:23:19,2048,2048,2048,1959,1943,1798,1798,1798
2024-07-17 21:23:19,2048,2048,2048,1959,1943,1300,1300,1300
2024-07-17 21:23:19,2048,2048,2048,1991,1927,963,963,963
2024-07-17 21:23:19,2048,2048,2048,1991,1927,385,385,385
2024-07-17 21:23:20,2048,2048,2048,1975,1927,0,0,0
2024-07-17 21:23:20,2048,2048,2048,1991,1943,0,0,0
2024-07-17 21:23:20,2048,2048,2048,2039,1943,963,963,963
2024-07-17 21:23:20,2048,2048,2048,2039,1943,1927,1927,1927
2024-07-17 21:23:20,2048,2048,2048,2055,1943,1959,1959,1959
2024-07-17 21:23:21,2048,2048,2048,2087,2007,2007,2007,2007
2024-07-17 21:23:21,2048,2048,2048,2103,2232,1991,1991,1991
2024-07-17 21:23:21,2048,2048,2048,2103,2617,1991,1991,1991
2024-07-17 21:23:21,2048,2048,2048,1637,2810,2039,2039,2039
2024-07-17 21:23:21,2048,2048,2048,1381,3002,2039,2039,2039
2024-07-17 21:23:22,2048,2048,2048,2135,2023,2039,2039,2039
2024-07-17 21:23:22,2048,2048,2048,3211,1204,2007,2007,2007
2024-07-17 21:23:22,2048,2048,2048,3773,851,2023,2023,2023
2024-07-17 21:23:22,2048,2048,2048,3870,818,1798,1798,1798
2024-07-17 21:23:22,2048,2048,2048,2762,1686,369,369,369
2024-07-17 21:23:23,2048,2048,2048,2167,1927,16,16,16
2024-07-17 21:23:23,2048,2048,2048,2119,1959,16,16,16
2024-07-17 21:23:23,2048,2048,2048,2135,1959,16,16,16
2024-07-17 21:23:23,2048,2048,2048,2087,1943,867,867,867
2024-07-17 21:23:23,2048,2048,2048,2071,1959,2055,2055,2055
2024-07-17 21:23:24,2048,2048,2048,2087,1959,2055,2055,2055
2024-07-17 21:23:24,2048,2048,2048,2087,1959,2055,2055,2055
2024-07-17 21:23:24,2048,2048,2048,2087,1943,2055,2055,2055
